State,Date,Sex,Ethnicity,Population,Event_Type,Area
W.P. Kuala Lumpur,01/01/2022,Female,Overall,9619,Birth,243
W.P. Labuan,01/01/2022,Male,Overall,704,Birth,91
W.P. Labuan,01/01/2022,Female,Overall,670,Birth,91
W.P. Putrajaya,01/01/2022,Male,Overall,953,Birth,49
W.P. Putrajaya,01/01/2022,Female,Overall,886,Birth,49
Johor,01/01/2022,Both,Bumi_Malay,35918,Birth,19210
Kedah,01/01/2022,Both,Bumi_Malay,27494,Birth,9500
Kelantan,01/01/2022,Both,Bumi_Malay,32464,Birth,15099
Melaka,01/01/2022,Both,Bumi_Malay,10927,Birth,1664
Negeri Sembilan,01/01/2022,Both,Bumi_Malay,12244,Birth,6686
Pahang,01/01/2022,Both,Bumi_Malay,19461,Birth,36137
Perak,01/01/2022,Both,Bumi_Malay,22618,Birth,21035
Perlis,01/01/2022,Both,Bumi_Malay,3506,Birth,821
Pulau Pinang,01/01/2022,Both,Bumi_Malay,11253,Birth,1048
Sabah,01/01/2022,Both,Bumi_Malay,7258,Birth,72631
Sarawak,01/01/2022,Both,Bumi_Malay,9174,Birth,124450
Selangor,01/01/2022,Both,Bumi_Malay,60197,Birth,8104
Terengganu,01/01/2022,Both,Bumi_Malay,24678,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Both,Bumi_Malay,11884,Birth,243
W.P. Labuan,01/01/2022,Both,Bumi_Malay,515,Birth,91
W.P. Putrajaya,01/01/2022,Both,Bumi_Malay,1762,Birth,49
Johor,01/01/2022,Male,Bumi_Malay,18486,Birth,19210
Johor,01/01/2022,Female,Bumi_Malay,17432,Birth,19210
Kedah,01/01/2022,Male,Bumi_Malay,14108,Birth,9500
Kedah,01/01/2022,Female,Bumi_Malay,13386,Birth,9500
Kelantan,01/01/2022,Male,Bumi_Malay,16740,Birth,15099
Kelantan,01/01/2022,Female,Bumi_Malay,15724,Birth,15099
Melaka,01/01/2022,Male,Bumi_Malay,5604,Birth,1664
Melaka,01/01/2022,Female,Bumi_Malay,5323,Birth,1664
Negeri Sembilan,01/01/2022,Male,Bumi_Malay,6449,Birth,6686
Negeri Sembilan,01/01/2022,Female,Bumi_Malay,5795,Birth,6686
Pahang,01/01/2022,Male,Bumi_Malay,10008,Birth,36137
Pahang,01/01/2022,Female,Bumi_Malay,9453,Birth,36137
Perak,01/01/2022,Male,Bumi_Malay,11669,Birth,21035
Perak,01/01/2022,Female,Bumi_Malay,10949,Birth,21035
Perlis,01/01/2022,Male,Bumi_Malay,1845,Birth,821
Perlis,01/01/2022,Female,Bumi_Malay,1661,Birth,821
Pulau Pinang,01/01/2022,Male,Bumi_Malay,5800,Birth,1048
Pulau Pinang,01/01/2022,Female,Bumi_Malay,5453,Birth,1048
Sabah,01/01/2022,Male,Bumi_Malay,3626,Birth,72631
Sabah,01/01/2022,Female,Bumi_Malay,3632,Birth,72631
Sarawak,01/01/2022,Male,Bumi_Malay,4749,Birth,124450
Sarawak,01/01/2022,Female,Bumi_Malay,4425,Birth,124450
Selangor,01/01/2022,Male,Bumi_Malay,31221,Birth,8104
Selangor,01/01/2022,Female,Bumi_Malay,28976,Birth,8104
Terengganu,01/01/2022,Male,Bumi_Malay,12736,Birth,13035
Terengganu,01/01/2022,Female,Bumi_Malay,11942,Birth,13035
W.P. Kuala Lumpur,01/01/2022,Male,Bumi_Malay,6111,Birth,243
W.P. Kuala Lumpur,01/01/2022,Female,Bumi_Malay,5773,Birth,243
W.P. Labuan,01/01/2022,Male,Bumi_Malay,271,Birth,91
W.P. Labuan,01/01/2022,Female,Bumi_Malay,244,Birth,91
W.P. Putrajaya,01/01/2022,Male,Bumi_Malay,908,Birth,49
W.P. Putrajaya,01/01/2022,Female,Bumi_Malay,854,Birth,49
