state,date,sex,ethnicity,abs
Johor,2005-01-01,male,overall,29081
Johor,2006-01-01,male,overall,29661
Johor,2007-01-01,male,overall,29815
Johor,2008-01-01,male,overall,29897
Johor,2009-01-01,male,overall,30068
Johor,2010-01-01,male,overall,28989
Johor,2011-01-01,male,overall,29962
Johor,2012-01-01,male,overall,31214
Johor,2013-01-01,male,overall,29672
Johor,2014-01-01,male,overall,31420
Johor,2015-01-01,male,overall,31307
Johor,2016-01-01,male,overall,30754
Johor,2017-01-01,male,overall,31648
Johor,2018-01-01,male,overall,31656
Johor,2019-01-01,male,overall,31073
Johor,2020-01-01,male,overall,29379
Johor,2021-01-01,male,overall,25708
Johor,2022-01-01,male,overall,24765
Johor,2000-01-01,female,overall,32457
Johor,2001-01-01,female,overall,29575
Johor,2002-01-01,female,overall,28777
Johor,2003-01-01,female,overall,28007
Johor,2004-01-01,female,overall,27821
Johor,2005-01-01,female,overall,27443
Johor,2006-01-01,female,overall,27076
Johor,2007-01-01,female,overall,27965
Johor,2008-01-01,female,overall,27941
Johor,2009-01-01,female,overall,27781
Johor,2010-01-01,female,overall,27075
Johor,2011-01-01,female,overall,28205
Johor,2012-01-01,female,overall,29230
Johor,2013-01-01,female,overall,27730
Johor,2014-01-01,female,overall,29023
Johor,2015-01-01,female,overall,29236
Johor,2016-01-01,female,overall,28807
Johor,2017-01-01,female,overall,29437
Johor,2018-01-01,female,overall,29428
Johor,2019-01-01,female,overall,29188
Johor,2020-01-01,female,overall,27529
Johor,2021-01-01,female,overall,24282
Johor,2022-01-01,female,overall,23489
Kedah,2000-01-01,male,overall,21038
Kedah,2001-01-01,male,overall,19754
Kedah,2002-01-01,male,overall,18825
Kedah,2003-01-01,male,overall,18285
Kedah,2004-01-01,male,overall,17872
Kedah,2005-01-01,male,overall,17587
Kedah,2006-01-01,male,overall,17467
Kedah,2007-01-01,male,overall,17461
Kedah,2008-01-01,male,overall,18182
Kedah,2009-01-01,male,overall,18499
Kedah,2010-01-01,male,overall,18203
Kedah,2011-01-01,male,overall,18480
Kedah,2012-01-01,male,overall,18937
Kedah,2013-01-01,male,overall,18049
Kedah,2014-01-01,male,overall,18936
Kedah,2015-01-01,male,overall,18832
Kedah,2016-01-01,male,overall,18457
Kedah,2017-01-01,male,overall,18991
Kedah,2018-01-01,male,overall,18462
Kedah,2019-01-01,male,overall,17828
Kedah,2020-01-01,male,overall,17516
Kedah,2021-01-01,male,overall,17032
Kedah,2022-01-01,male,overall,15784
Kedah,2000-01-01,female,overall,19976
Kedah,2001-01-01,female,overall,18319
Kedah,2002-01-01,female,overall,17779
Kedah,2003-01-01,female,overall,17122
Kedah,2004-01-01,female,overall,17187
Kedah,2005-01-01,female,overall,16667
Kedah,2006-01-01,female,overall,16397
Kedah,2007-01-01,female,overall,16502
Kedah,2008-01-01,female,overall,17233
Kedah,2009-01-01,female,overall,17520
Kedah,2010-01-01,female,overall,16925
Kedah,2011-01-01,female,overall,17457
Kedah,2012-01-01,female,overall,17453
Kedah,2013-01-01,female,overall,16983
Kedah,2014-01-01,female,overall,17569
Kedah,2015-01-01,female,overall,17952
Kedah,2016-01-01,female,overall,17510
Kedah,2017-01-01,female,overall,17702
Kedah,2018-01-01,female,overall,17181
Kedah,2019-01-01,female,overall,16683
Kedah,2020-01-01,female,overall,16312
Kedah,2021-01-01,female,overall,16008
Kedah,2022-01-01,female,overall,15012
Kelantan,2000-01-01,male,overall,20749
Kelantan,2001-01-01,male,overall,19696
Kelantan,2002-01-01,male,overall,19221
Kelantan,2003-01-01,male,overall,18396
Kelantan,2004-01-01,male,overall,17946
Kelantan,2005-01-01,male,overall,17584
Kelantan,2006-01-01,male,overall,17374
Kelantan,2007-01-01,male,overall,17393
Kelantan,2008-01-01,male,overall,18032
Kelantan,2009-01-01,male,overall,18337
Kelantan,2010-01-01,male,overall,18586
Kelantan,2011-01-01,male,overall,19412
Kelantan,2012-01-01,male,overall,19328
Kelantan,2013-01-01,male,overall,18853
Kelantan,2014-01-01,male,overall,20227
Kelantan,2015-01-01,male,overall,19984
Kelantan,2016-01-01,male,overall,19821
Kelantan,2017-01-01,male,overall,20084
Kelantan,2018-01-01,male,overall,19984
Kelantan,2019-01-01,male,overall,19124
Kelantan,2020-01-01,male,overall,18739
Kelantan,2021-01-01,male,overall,17868
Kelantan,2022-01-01,male,overall,17464
Kelantan,2000-01-01,female,overall,19655
Kelantan,2001-01-01,female,overall,18490
Kelantan,2002-01-01,female,overall,18076
Kelantan,2003-01-01,female,overall,17290
Kelantan,2004-01-01,female,overall,17167
Kelantan,2005-01-01,female,overall,16504
Kelantan,2006-01-01,female,overall,16285
Kelantan,2007-01-01,female,overall,16407
Kelantan,2008-01-01,female,overall,16810
Kelantan,2009-01-01,female,overall,17378
Kelantan,2010-01-01,female,overall,17423
Kelantan,2011-01-01,female,overall,18267
Kelantan,2012-01-01,female,overall,17697
Kelantan,2013-01-01,female,overall,17560
Kelantan,2014-01-01,female,overall,19052
Kelantan,2015-01-01,female,overall,19124
Kelantan,2016-01-01,female,overall,18634
Kelantan,2017-01-01,female,overall,19038
Kelantan,2018-01-01,female,overall,18376
Kelantan,2019-01-01,female,overall,17734
Kelantan,2020-01-01,female,overall,17536
Kelantan,2021-01-01,female,overall,16896
Kelantan,2022-01-01,female,overall,16344
Melaka,2000-01-01,male,overall,7893
Melaka,2001-01-01,male,overall,7437
Melaka,2002-01-01,male,overall,7027
Melaka,2003-01-01,male,overall,7287
Melaka,2004-01-01,male,overall,6930
Melaka,2005-01-01,male,overall,6905
Melaka,2006-01-01,male,overall,6585
Melaka,2007-01-01,male,overall,6943
Melaka,2008-01-01,male,overall,6897
Melaka,2009-01-01,male,overall,6913
Melaka,2010-01-01,male,overall,6799
Melaka,2011-01-01,male,overall,7290
Melaka,2012-01-01,male,overall,7233
Melaka,2013-01-01,male,overall,7102
Melaka,2014-01-01,male,overall,7592
Melaka,2015-01-01,male,overall,7460
Melaka,2016-01-01,male,overall,7511
Melaka,2017-01-01,male,overall,7454
Melaka,2018-01-01,male,overall,7379
Melaka,2019-01-01,male,overall,7408
Melaka,2020-01-01,male,overall,7139
Melaka,2021-01-01,male,overall,6812
Melaka,2022-01-01,male,overall,6745
Melaka,2000-01-01,female,overall,7411
Melaka,2001-01-01,female,overall,6880
Melaka,2002-01-01,female,overall,6783
Melaka,2003-01-01,female,overall,6611
Melaka,2004-01-01,female,overall,6618
Melaka,2005-01-01,female,overall,6436
Melaka,2006-01-01,female,overall,6361
Melaka,2007-01-01,female,overall,6501
Melaka,2008-01-01,female,overall,6722
Melaka,2009-01-01,female,overall,6543
Melaka,2010-01-01,female,overall,6211
Melaka,2011-01-01,female,overall,6686
Melaka,2012-01-01,female,overall,7045
Melaka,2013-01-01,female,overall,6590
Melaka,2014-01-01,female,overall,6976
Melaka,2015-01-01,female,overall,7094
